"name","group","element","units","context","S433245","S433246","S433247","S433248","S433249","S433250","S433251","S433252","S433253","S433254","S433255","S433256","S433257","S433258","S433259","S433260","S433261","S433262","S433263","S433264","S433265","S433266","S433267","S433268","S433269","S433270","S433271","S433272","S433273","S433274","S433275","S433276","S433277","S433278","S433279","S433280","S433281","S433282","S433283","S433284","S433285","S433286","S433287","S433288","S433289","S433290","S433291","S433292","S433293","S433294","S433295","S433296","S433297","S433298","S433299","S433300","S433301","S433302","S433303","S433304","S433305","S433306","S433307","S433308","S433309","S433310","S433311","S433312","S433313","S433314","S433315","S433316","S433317","S433318","S433319","S433320","S433321","S433322","S433323","S433324","S433325","S433326","S433327","S433328","S433329","S433330","S433331","S433332","S433333","S433334","S433335","S433336","S433337","S433338","S433339","S433340","S433341","S433342","S433343","S433344","S433345","S433346","S433347","S433348","S433349","S433350","S433351","S433352","S433353","S433354","S433355","S433356","S433357","S433358","S433359","S433360","S433361","S433362","S433363","S433364","S433365","S433366","S433367","S433368","S433369","S433370","S433371","S433372","S433373","S433374","S433375","S433376","S433377","S433378","S433379","S433380","S433381","S433382","S433383","S433384","S433385","S433386","S433387","S433388","S433389","S433390","S433391","S433392","S433393","S433394","S433395","S433396","S433397","S433398","S433399","S433400","S433401","S433402","S433403","S433404","S433405","S433406","S433407","S433408","S433409"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1478.5,1479.5,1480.5,1481.5,1482.5,1483.5,1484.5,1485.5,1486.5,1487.5,1488.5,1489.5,1490.5,1491.5,1492.5,1493.5,1494.5,1495.5,1496.5,1497.5,1498.5,1499.5,1500.5,1501.5,1502.5,1503.5,1504.5,1505.5,1506.5,1507.5,1508.5,1509.5,1510.5,1511.5,1512.5,1513.5,1514.5,1515.5,1516.5,1517.5,1518.5,1519.5,1520.5,1525.25,1527.25,1530.25,1532.25,1535.25,1537.25,1539.25,1540.25,1542.25,1545.25,1546.25,1547.25,1550.25,1552.25,1555.25,1556.25,1557.25,1560.25,1562.25,1565.25,1566.25,1567.25,1570.25,1572.25,1575.25,1577.25,1580.25,1582.25,1585.25,1587.25,1590.25,1592.25,1595.25,1597.25,1599.75,1600.25,1600.75,1601.25,1602.25,1603.25,1604.25,1605.25,1606.25,1607.25,1608.25,1609.25,1610.25,1611.25,1612.25,1613.25,1614.25,1615.25,1616.25,1617.25,1618.25,1619.25,1620.25,1621.25,1622.25,1623.25,1624.25,1625.25,1626.25,1626.75,1627.25,1627.75,1628.25,1628.75,1629.25,1632.806,1633.584,1634.362,1635.14,1635.918,1636.696,1637.474,1638.252,1639.25,1640.25,1641.25,1642.25,1643.25,1644.25,1645.25,1646.25,1647.25,1648.25,1648.75,1649.25,1649.75,1650.25,1650.75,1651.25,1652.25,1655.25,1657.25,1658.25,1658.75,1659.25,1659.75,1660.25,1662.25,1665.25,1667.25,1669.75,1670.25,1672.25,1675.25,1677.25,1678.75,1679.75,1680.25,1681.25,1682.25,1685.25,1687.25,1690.25,1692.25,1695.25,1697.25,1698.25,1698.75
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,433245,433246,433247,433248,433249,433250,433251,433252,433253,433254,433255,433256,433257,433258,433259,433260,433261,433262,433263,433264,433265,433266,433267,433268,433269,433270,433271,433272,433273,433274,433275,433276,433277,433278,433279,433280,433281,433282,433283,433284,433285,433286,433287,433288,433289,433290,433291,433292,433293,433294,433295,433296,433297,433298,433299,433300,433301,433302,433303,433304,433305,433306,433307,433308,433309,433310,433311,433312,433313,433314,433315,433316,433317,433318,433319,433320,433321,433322,433323,433324,433325,433326,433327,433328,433329,433330,433331,433332,433333,433334,433335,433336,433337,433338,433339,433340,433341,433342,433343,433344,433345,433346,433347,433348,433349,433350,433351,433352,433353,433354,433355,433356,433357,433358,433359,433360,433361,433362,433363,433364,433365,433366,433367,433368,433369,433370,433371,433372,433373,433374,433375,433376,433377,433378,433379,433380,433381,433382,433383,433384,433385,433386,433387,433388,433389,433390,433391,433392,433393,433394,433395,433396,433397,433398,433399,433400,433401,433402,433403,433404,433405,433406,433407,433408,433409
Updated Carter et al. 2018,Calibrated radiocarbon years BP,,,,-55/-56/-58,-38/-41/-43,-22/-25/-28,-4/-9/-13,13/7/1,36/30/24,71/60/50,109/90/73,147/121/95,186/151/117,221/182/143,273/213/159,334/245/170,397/277/177,464/308/185,504/341/213,518/374/252,533/408/279,556/441/304,588/474/324,614/513/380,629/556/473,653/599/537,732/643/562,829/686/574,911/733/602,993/785/633,1096/837/653,1211/888/672,1336/940/683,1418/992/719,1451/1044/757,1498/1096/784,1556/1149/808,1633/1201/830,1690/1256/876,1729/1314/936,1784/1372/975,1849/1429/1007,1925/1487/1036,1986/1542/1091,2014/1594/1147,2055/1647/1210,2283/1889/1462,2372/1989/1561,2479/2140/1759,2560/2242/1827,2644/2406/2138,2685/2518/2307,2750/2638/2483,2869/2700/2526,3159/2826/2573,3410/3009/2676,3491/3070/2703,3602/3131/2731,3769/3304/2876,3897/3418/2949,4042/3592/3136,4097/3650/3192,4166/3708/3222,4293/3876/3420,4386/3986/3512,4517/4153/3753,4550/4209/3833,4607/4265/3891,4731/4452/4249,4832/4581/4444,5077/4785/4555,5342/4924/4599,5569/5132/4741,5758/5271/4815,5933/5473/5008,6060/5606/5082,6213/5814/5340,6316/5955/5454,6436/6175/5851,6521/6324/6095,6628/6480/6332,6656/6509/6362,6699/6538/6383,6750/6567/6402,6892/6624/6429,7008/6679/6458,7039/6727/6499,7078/6775/6527,7135/6823/6556,7211/6871/6579,7283/6918/6612,7316/6966/6654,7356/7013/6692,7404/7061/6718,7467/7108/6739,7522/7156/6772,7544/7202/6847,7578/7249/6888,7616/7296/6925,7665/7342/6957,7711/7389/6999,7734/7436/7066,7751/7483/7128,7782/7531/7180,7818/7578/7225,7862/7626/7275,7874/7676/7392,7892/7726/7500,7910/7775/7602,7920/7800/7647,7935/7825/7686,7950/7850/7713,7969/7874/7737,7989/7896/7764,8015/7918/7791,8264/8073/7886,8289/8111/7941,8300/8150/8006,8314/8190/8068,8334/8229/8120,8364/8268/8168,8413/8307/8195,8475/8350/8221,8551/8412/8265,8652/8474/8297,8772/8536/8320,8899/8598/8337,9001/8660/8377,9028/8721/8456,9065/8782/8508,9120/8843/8556,9179/8904/8588,9246/8969/8652,9265/9008/8734,9285/9046/8808,9310/9085/8885,9341/9123/8949,9374/9161/9002,9412/9200/9037,9525/9277/9077,9785/9491/9223,10013/9630/9283,10129/9699/9325,10148/9734/9371,10174/9768/9410,10199/9803/9447,10218/9837/9472,10351/9975/9558,10464/10176/9878,10543/10308/10083,10643/10420/10240,10656/10438/10259,10746/10509/10295,10839/10599/10363,10903/10656/10400,10946/10698/10448,10963/10726/10478,10972/10740/10489,10994/10767/10516,11021/10795/10536,11082/10881/10652,11127/10939/10701,11204/11047/10813,11355/11124/10860,11592/11265/10961,11837/11364/11006,11954/11414/11027,11985/11439/11045
Carter et al. 2018,Calibrated radiocarbon years BP,,,,--/-58/--,--/-46/--,--/-31/--,--/-14/--,--/5/--,--/27/--,--/51/--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--/1946/--,--/2049/--,--/2200/--,--/2298/--,,,--/2631/--,--/2683/--,--/2792/--,,--/3020/--,,--/3245/--,--/3355/--,,--/3580/--,,--/3813/--,--/3928/--,,--/4160/--,,--/4408/--,--/4540/--,,,--/5101/--,,--/5480/--,--/5700/--,--/5841/--,,--/6179/--,,,--/6500/--,,--/6563/--,--/6624/--,--/6684/--,--/6741/--,--/6796/--,--/6849/--,--/6900/--,--/6950/--,--/6998/--,--/7046/--,--/7095/--,--/7143/--,--/7192/--,--/7243/--,--/7295/--,--/7350/--,--/7405/--,--/7461/--,--/7516/--,--/7571/--,--/7624/--,--/7677/--,--/7729/--,--/7780/--,--/7831/--,--/7883/--,,--/7934/--,,,--/7985/--,--/8034/--,--/8129/--,--/8162/--,--/8194/--,--/8226/--,--/8257/--,--/8289/--,--/8321/--,--/8359/--,--/8427/--,--/8472/--,--/8523/--,--/8581/--,--/8643/--,--/8708/--,--/8772/--,--/8837/--,--/8901/--,--/8967/--,,--/9032/--,,--/9096/--,,--/9159/--,--/9223/--,--/9419/--,--/9557/--,--/9628/--,,--/9699/--,,--/9771/--,--/9916/--,--/10133/--,--/10275/--,,--/10473/--,--/10592/--,--/10733/--,--/10802/--,,,--/10881/--,--/10908/--,--/10935/--,--/11014/--,--/11067/--,--/11147/--,--/11200/--,--/11280/--,--/11334/--,--/11361/--,
Abies alba,TRSH,needle,NISP,,1,,,1,,,,,,,,2,,,,,,,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies alba,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies alba,TRSH,seed wing,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
