"name","group","element","units","context","S434050","S434051","S434052","S434053","S434054","S434055","S434056","S434057","S434058","S434059","S434060","S434061","S434062","S434063","S434064","S434065","S434066","S434067","S434068","S434069","S434070","S434071","S434072","S434073","S434074","S434075","S434076","S434077","S434078","S434079","S434080","S434081","S434082","S434083","S434084","S434085","S434086","S434087","S434088","S434089","S434090","S434091","S434092","S434093","S434094","S434095","S434096","S434097","S434098","S434099","S434100","S434101","S434102","S434103","S434104","S434105","S434106","S434107","S434108","S434109","S434110","S434111","S434112","S434113","S434114","S434115","S434116","S434117","S434118","S434119","S434120","S434121","S434122","S434123","S434124"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,3,4.5,8,14,18,24,28,34,38,44,48,54,58,64,68,74,78,84,88,94,98,103,107,113,117,123,127,133,137,143,147,153,157,163,167,173,177,183,187,193,195,203,207,213,217,219,223,227,233,237,241,243,247,253,257,263,267,273,277,281,283,285,287,289,291,293,295,297,303,307,313,317,321,323
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,434050,434051,434052,434053,434054,434055,434056,434057,434058,434059,434060,434061,434062,434063,434064,434065,434066,434067,434068,434069,434070,434071,434072,434073,434074,434075,434076,434077,434078,434079,434080,434081,434082,434083,434084,434085,434086,434087,434088,434089,434090,434091,434092,434093,434094,434095,434096,434097,434098,434099,434100,434101,434102,434103,434104,434105,434106,434107,434108,434109,434110,434111,434112,434113,434114,434115,434116,434117,434118,434119,434120,434121,434122,434123,434124
Moravcová et al.,Calendar years BP,,,,--/-60.5/--,--/-49.3/--,--/-41/--,--/-18.3/--,--/47.9/--,--/106.2/--,--/197.4/--,--/257.3/--,--/318.9/--,--/350.4/--,--/400.7/--,--/454.2/--,--/546/--,--/608.4/--,--/698.3/--,--/761.8/--,--/852.8/--,--/924.3/--,--/1093.1/--,--/1218.8/--,--/1391.2/--,--/1497.4/--,--/1635.9/--,--/1754.2/--,--/1938.9/--,--/2056.5/--,--/2231.8/--,--/2348.6/--,--/2518.9/--,--/2629.3/--,--/2805/--,--/2944.7/--,--/3169.6/--,--/3326.2/--,--/3563.1/--,--/3715.1/--,--/3948/--,--/4090.9/--,--/4287.6/--,--/4422.4/--,--/4626.1/--,--/4695.1/--,--/4942.8/--,--/5083.8/--,--/5341.8/--,--/5520.9/--,--/5606.9/--,--/5769.8/--,--/5935.1/--,--/6178.9/--,--/6359.6/--,--/6565.4/--,--/6665.2/--,--/6861.7/--,--/7128.2/--,--/7302/--,--/7567.7/--,--/7714/--,--/7843.4/--,--/7906.4/--,--/8031.2/--,--/8172.4/--,--/8312/--,--/8385.8/--,--/8460.4/--,--/8531.5/--,--/8599.4/--,--/8667.1/--,--/8743.6/--,--/8974.9/--,--/9137.2/--,--/9582.4/--,--/10009.3/--,--/10435.8/--,--/10641.1/--
Abies alba,TRSH,needle,NISP,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies alba,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies alba,TRSH,seed wing,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemilla sp.,UPHE,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
