"name","group","element","units","context","S434144","S434145","S434146","S434147","S434148","S434149","S434150","S434151","S434152","S434153","S434154","S434155","S434156","S434157","S434158","S434159","S434160","S434161","S434162","S434163","S434164","S434165","S434166","S434167","S434168","S434169","S434170","S434171","S434172","S434173","S434174","S434175","S434176","S434177","S434178","S434179","S434180","S434181","S434182","S434183","S434184","S434185","S434186","S434187","S434188","S434189","S434190","S434191","S434192","S434193","S434194","S434195","S434196","S434197"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,7,11,17,21,27,31,37,41,47,51,57,61,67,71,77,81,87,91,97,101,107,111,117,121,127,131,137,141,147,151,157,161,167,171,177,181,187,191,197,201,207,211,217,221,227,231,237,241,247,251,257,261,263
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,434144,434145,434146,434147,434148,434149,434150,434151,434152,434153,434154,434155,434156,434157,434158,434159,434160,434161,434162,434163,434164,434165,434166,434167,434168,434169,434170,434171,434172,434173,434174,434175,434176,434177,434178,434179,434180,434181,434182,434183,434184,434185,434186,434187,434188,434189,434190,434191,434192,434193,434194,434195,434196,434197
Moravcová et al.,Calendar years BP,,,,--/-58.4/--,--/-0.5/--,--/61.9/--,--/231.1/--,--/331.9/--,--/393.8/--,--/429.6/--,--/484.3/--,--/517.6/--,--/570.5/--,--/606.7/--,--/669.5/--,--/758.4/--,--/1023.1/--,--/1187.2/--,--/1415/--,--/1556.4/--,--/1743.3/--,--/1880.1/--,--/2071.9/--,--/2204.1/--,--/2438.9/--,--/2595.9/--,--/2823.6/--,--/2976.2/--,--/3208.9/--,--/3364.1/--,--/3610.8/--,--/3786.3/--,--/4077/--,--/4272.6/--,--/4533.2/--,--/4710.9/--,--/4982.4/--,--/5147.1/--,--/5405.5/--,--/5610.4/--,--/5952.8/--,--/6178.2/--,--/6505/--,--/6713.9/--,--/7023.6/--,--/7249.5/--,--/7580.5/--,--/7804.1/--,--/8147.3/--,--/8377/--,--/8717.4/--,--/8938.5/--,--/9256.6/--,--/9421.7/--,--/9558.1/--,--/9647.1/--,--/9679.1/--
Abies alba,TRSH,needle,NISP,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula pendula/B. pubescens,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,1,,1,,1,,,,,,,,
Betula pubescens,TRSH,catkin bract,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,
Betula sp.,TRSH,bud scale,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,,,
Betula sp.,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,,,,1,,,,,
Bryophyta,UPBR,stem, leaf,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,
Carex canescens,UPHE,nutlet,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,1,,,,,,,,,,,,,,,,,,
Carex sp.,UPHE,utricle,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex sp.,UPHE,nutlet,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,
Caryophyllaceae,UPHE,seed,NISP,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenococcum geophilum,FUNG,sclerotium,NISP,,4,25,1,2,,,1,3,6,1,,,1,2,,1,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,,,,,,,2,1,1,,,,
Chamaenerion angustifolium,UPHE,seed,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Charcoal,CHAR,>1 mm,NISP,,1,,1,1,,,,,1,,1,,,,,1,,1,,,,,1,1,,,,,4,,2,,1,,,,,1,2,4,,,2,5,4,5,5,2,2,,8,1,,2
Charcoal,CHAR,>2 mm,NISP,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Cristatella mucedo,BRYZ,statoblast,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,1,,1,,,,,,,
Isoëtes,AQVP,megaspore,NISP,,,,,,,,,,,,,,,,,,1,,,2,,1,1,,,,0.5,,,,,,,,,,,1,,1.5,0.5,,1,1,,,,1,3,,8.5,,,2
Isoëtes echinospora,AQVP,megaspore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,7.5,,3,,3,,,,,2,1,63,5,8.5,31
Isoëtes lacustris,AQVP,megaspore,NISP,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1,,,,,,1,,1,,,2,2,1.5,,2,3,,,1,1,8,1,13,,,
Juncus sp.,AQVP,seed,NISP,,,3,2,,,,2,,,2,1,,,,1,,,3,3,2,,3,,5,1,1,2,,2,,11,8,,1,3,9,1,,,1,1,2,3,,1,1,,3,4,2,8,5,5,6
Magnoliopsida undiff.,UPHE,leaf,>2 mm,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,1,,,,
Magnoliopsida undiff.,UPHE,bud scale,NISP,,,,2,1,,1,,,,,,3,,,1,,1,,,,1,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,
Magnoliopsida undiff.,UPHE,bud,NISP,,,,,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,
Magnoliopsida undiff.,UPHE,leaf,>1 mm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnoliopsida undiff.,UPHE,leaf vein,NISP,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea abies,TRSH,needle,NISP,,3,13,53,26,26,43,23,29,38,25,16,26,39,15,13,13,10,17,17,13,10,6,9,11,6,8,8,4,6,6,4,9,16,6,18,8,3,4,1,3,6,9,5,9,13,9,7,6,3,13,8,5,5,4
Picea abies,TRSH,needle; base,NISP,,2,1,,35,,8,11,11,4,14,7,11,6,31,8,11,8,10,11,6,8,8,6,4,6,8,5,3,4,3,,6,2,4,,3,20,4,1,1,4,1,4,3,8,27,1,3,,3,19,6,,2
Picea abies,TRSH,seed,NISP,,,,1,1,2,1,,,,2,1,,1.5,1,,2,,2,,2,1,3,1,2,,,3,1,4,,,,,,2,2,1,,,1,2,1,2,,1,2,,1,1,,1,,,
Picea abies,TRSH,bark/needle base,NISP,,,,4,2,2,,8,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,2,,,,,,,,
Picea abies,TRSH,bud,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea abies,TRSH,twig, with bark,NISP,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea abies,TRSH,seed wing,NISP,,,,,,,1,,1,3,1,1,1,,2,1,,2,2,1,2,1,2,1,2,4,2,3,1,3,,1,,4,,1,1,2,,,,1,2,2,,,1,,,1,,,,,
Picea abies,TRSH,bud scale,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea abies,TRSH,needle,>2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
Picea abies,TRSH,needle,>1 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Pinus sp.,TRSH,twig,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus sp.,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Pinus sp.,TRSH,needle,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,
Pinus sp.,TRSH,shoot, with needles,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,
Pinus/Picea,TRSH,bud scale,NISP,,,1,9,5,4,2,4,10,11,5,4,10,7,8,5,9,2,3,8,2,4,8,2,8,6,2,5,7,1,6,1,4,2,1,3,5,2,,,1,1,,2,2,5,1,1,4,2,1,6,3,,
Pinus/Picea,TRSH,microsporophyll,NISP,,,,6,10,12,19,8,27,27,15,14,23,12,26,24,15,14,16,17,14,12,12,17,12,18,13,17,12,6,7,5,13,3,2,1,9,2,6,1,,1,1,2,,1,1,1,7,3,,2,3,2,
Pinus/Picea,TRSH,bud,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Plumatella,BRYZ,statoblast,NISP,,,,,,,,1,,,1,,,,,,,,,,0.5,0.5,1,,0.5,1.5,0.5,2,,2,1,1,0.5,,1,0.5,,0.5,1,,,0.5,0.5,,1,0.5,1.5,,,1.5,,5,2,,10
Rubus,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,1.5,,,1,,,,,,,,,
Sample quantity,LABO,volume,ml,,4,15,19,17,17,22,21,24,25,24,23,25,21,22,17,25,29,28,29,30,19,28,28,27,26,26,26,26,25,23,26,28,26,24,23,25,18,25,26,24,24,24,26,23,25,25,24,28,27,23,23,25,23,16
Spermatophyta,SEED,wood,>2 mm,,1,2,11,,,1,11,,2,,,1,3,,1,,1,1,,1,1,1,,,1,2,,,,,1,,37,,1,,,,,,,,,,,,,,,1,,,,1
Spermatophyta,SEED,twig,>2 mm,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Spermatophyta,SEED,bark,>2 mm,,,1,3,1,,,1,1,,1,1,,4,2,,3,,,,2,,1,,1,1,1,,,,,,,4,,,3,,,,,,,,,1,1,,,,,,1,,
Spermatophyta,SEED,rhizome/root,NISP,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spermatophyta,SEED,seed,NISP,,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,
Spermatophyta,SEED,wood,>5 mm,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
