"name","group","element","units","context","S567723","S567734","S567743","S567749","S567755","S567728","S567738","S567748","S567725","S567732","S567741","S567751","S567726","S567735","S567747","S567729","S567733","S567744","S567754","S567721","S567731","S567740","S567752","S567720","S567730","S567737","S567746","S567722","S567742","S567753","S567724","S567736","S567745","S567727","S567739","S567750"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1490.25,1550.25,1610.25,1640.25,1698.25,1505.25,1560.25,1630.25,1525.25,1540.25,1590.25,1660.25,1520.25,1556.25,1627.25,1517.25,1546.25,1620.25,1690.25,1485.5,1536.25,1600.25,1670.25,1478.5,1530.25,1580.25,1625.25,1500.25,1565.25,1680.25,1495.25,1567.25,1623.25,1510.25,1570.25,1650.25
Thickness,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,567723,567734,567743,567749,567755,567728,567738,567748,567725,567732,567741,567751,567726,567735,567747,567729,567733,567744,567754,567721,567731,567740,567752,567720,567730,567737,567746,567722,567742,567753,567724,567736,567745,567727,567739,567750
Updated Carter et al. 2018,Calibrated radiocarbon years BP,,,,--/207/--,--/3258/--,--/7010/--,--/8455/--,--/11426/--,--/827/--,--/3827/--,--/7980/--,--/1928/--,--/2686/--,--/5810/--,--/9763/--,--/1670/--,--/3604/--,--/7830/--,--/1506/--,--/3020/--,--/7496/--,--/11122/--,--/60/--,--/2475/--,--/6480/--,--/10422/--,--/-60/--,--/2176/--,--/5095/--,--/7732/--,--/578/--,--/4120/--,--/10829/--,--/379/--,--/4242/--,--/7633/--,--/1097/--,--/4423/--,--/9069/--
Achnanthidium cf. A. minutissimum,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Achnanthidium linearioide,DIAT,valve,NISP,,,,,5,,,,,,,3,12,,,,,,7,,,,,,,,,,,,1,,,1,,,7
Achnanthidium minutissimum s.l.,DIAT,valve,NISP,,,1,3,1,,,,,,,1,,,,1,,,1,,,,1,13,,,,,,,2,,,,,1,4
Achnanthidium spp.,DIAT,valve,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
Adlafia bryophila,DIAT,valve,NISP,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Adlafia spp.,DIAT,valve,NISP,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,
Aulacoseira aff. tenella,DIAT,valve,NISP,,,26,18,19,,6,33,18,13,17,11,,15,17,8,11,8,19,,4,11,3,,,18,4,6,,,,,,5,18,12,
Aulacoseira alpigena,DIAT,valve,NISP,,38,75,30,30,155,9,68,70,35,64,187,30,38,112,43,33,44,50,46,42,89,90,65,2,53,97,35,22,31,87,2,34,31,79,77,18
Aulacoseira ambigua,DIAT,valve,NISP,,,,,4,,,,5,,,,,,,,,,,,,,1,,,,,1,,,,,,5,,,
