"name","group","element","units","context","S567761","S567782","S567763","S567770","S567777","S567765","S567769","S567775","S567779","S567764","S567771","S567776","S567756","S567780","S567758","S567767","S567773","S567757","S567762","S567766","S567768","S567772","S567774","S567778","S567759","S567760","S567781"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1498.5,1690.25,1559.5,1610,1650.25,1518,1599,1630.25,1670.25,1549.25,1619,1639.72275,1488.5,1698.75,1540.25,1579.75,1625.25,1527.75,1511,1572,1590,1622.75,1627.25,1660.5,1483.5,1478.5,1680.25
Thickness,,,,,1,0.5,12,10,10.5,2,8,2.5,0.5,8.5,6,9.5545,1,0.5,7.5,9.5,0.5,17.5,2,4,10,0.5,2.5,7,1,1,0.5
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,567761,567782,567763,567770,567777,567765,567769,567775,567779,567764,567771,567776,567756,567780,567758,567767,567773,567757,567762,567766,567768,567772,567774,567778,567759,567760,567781
Updated Carter et al. 2018,Calibrated radiocarbon years BP,,,,--/495/--,--/11122/--,--/3698/--,--/7063/--,--/9103/--,--/1551/--,--/6477/--,--/7980/--,--/10422/--,--/3227/--,--/7439/--,--/8413/--,--/147/--,--/11451/--,--/2674/--,--/5092/--,--/7732/--,--/2059/--,--/1139/--,--/4558/--,--/5736/--,--/7610/--,--/7830/--,--/9779/--,--/3/--,--/-60/--,--/10829/--
Ablabesmyia,DIPT,head capsule,NISP,,1.5,,2,,1,,,,3,2,1,2,4,,4,,2,1,,,5,1,1,8,1,,2
Chironomidae,DIPT,head capsule,NISP,,2.5,8.5,6.5,2.5,1,4.5,8.5,10,2.5,7.5,0.5,4,4.5,5.5,5,4.5,1,4,5.5,1,6.5,4,4.5,7,9,6,3.5
Chironomus anthracinus-type,DIPT,head capsule,NISP,,,7,1.5,,3,,,,,,,,,12,,,1,,1,,,,1.5,8,2,0.5,1.5
Cladotanytarsus mancus-type (C. 1),DIPT,head capsule,NISP,,2,,5,1,1,3,1,,,3,1,,3,,3,,1,2,4.5,,1,2,1,2,,,
Cladotanytarsus mancus-type (C. 2),DIPT,head capsule,NISP,,4,,,,,1,,,,,,,,,,,,1,2,,,,,,,,
Constempellina/Thienemanniola,DIPT,head capsule,NISP,,,,,,,,,,,1,,,1,,1,3,,,,1,1,,1,,1,,
Corynoneura (type A),DIPT,head capsule,NISP,,,,1,,,,2,,,1,,,,,4,3,,2,5,6,4,,,,5,1,
Corynoneura arctica-type,DIPT,head capsule,NISP,,8,5,2,,3,11,,1,6,1,,6,4,5,8,,,3,9,,,,,6,5,6,3
Corynoneura carriana-type,DIPT,head capsule,NISP,,1,,,,,,3,,,,,,,,,,,,4,,,,1,,,,
Corynoneura edwardsi-type,DIPT,head capsule,NISP,,7,,3,7,9,6,6,3,4,5,6,4,3,,7,2,3,7,5,1,2,2,1,1,,7,
Corynoneura undiff.,DIPT,head capsule,NISP,,,,,1,,,,,,,,,,,,,,3,1,,1,,,,,0.5,
Cricotopus (Isocladius) sylvestris-type,DIPT,head capsule,NISP,,,,,,,2,,,,,,,,,1,,,1,1.5,,1,,,1,,,
Cricotopus/Orthocladius undiff.,DIPT,head capsule,NISP,,,1,,,,,,1.5,,,,,,,,,,1,,,,,,,,,
Diamesa zernyi / D.cinerella-type,DIPT,head capsule,NISP,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Dicrotendipes nervosus-type,DIPT,head capsule,NISP,,2,,,1,,,1,3,,1,,1,1,,2,1.5,4,,,3,,,3,13,1.5,,
Georthocladius luteicornis-type,DIPT,head capsule,NISP,,0.5,,1,2,1,,,4.5,,3.5,,1.5,,,2.5,3.5,,,2.5,3.5,5.5,1,4,,0.5,,
Heterotrissocladius grimshawi-type,DIPT,head capsule,NISP,,2,18.5,,2,0.5,,4.5,5.5,5,2,,1,1,41.5,1.5,2,2.5,1,1,2,1,6.5,4.5,,6.5,5,1
Heterotrissocladius marcidus-type,DIPT,head capsule,NISP,,,8.5,2,7,2.5,2.5,5,5,1,1,11.5,1,2,0.5,0.5,0.5,15,0.5,5,0.5,3.5,11,8,6,1,3,
Limnophyes,DIPT,head capsule,NISP,,3,,3.5,2.5,2,4,5,1,,10.5,1,1,1,,4.5,2,,2,3,,,,,3.5,1,1,
