sample_id,pH,Cond,DOC,Ca,Mg,Na,K,SO4,Cl,NO3,TON,Altot,Zn,Mn,Fe,SiO2,Alkal
1.21,4.491,58,1.9,70,61.9,241.4,11.955,142.02,239.2,27.475,477.5,299,23.66667,75,73.33333,1000,NA
10.21,5.264,42.55714,4.14,127.8714,92.1,132.8667,15.72833,174.9286,138.2,20.2,577.5,176.4286,22.33333,31.5,55,2425,7.539
11,4.9,17.6,NA,66.9,21.4,NA,4.09,81.2,19.7,NA,NA,227,NA,NA,NA,NA,NA
111.11,6.488,16.8,2.46,65.32857,27.01667,69.66667,5.96667,22.6,71.31429,3.43333,112.5,41.85714,4,15,66.66667,NA,22.833
113.21,6.431,25.08571,2.76,104.6429,34.01667,105.7667,4.94667,27.08571,114.4143,2.65,192.5,37.14286,2.66667,2.5,23.33333,NA,102.197
115.11,5.682,33.15714,5.04,46.11429,54.85,193.2,6.775,40.75714,217.1857,2.5,210,68.14286,3.33333,10.5,133.3333,NA,14.19
12.11,5.244,12.14444,1.44,32.01111,15.0125,30.05,3.83625,51.62222,23.18889,11.35,232.5,95.77778,10.8,21.75,40.8,775,NA
121,4.8,26.6,NA,14.5,32.1,119.2,5.11,45.8,138.2,NA,NA,90,NA,NA,NA,NA,NA
15.11,5.407,20.28571,4.63333,68.95714,31.11667,46.31667,8.22833,96.98571,39.9,8.83333,332.5,175.7143,23.6,86.25,141.4,2450,NA
17.21,4.912,44.71429,5.72,114.3571,74.31667,168.7667,8.31167,167.1857,145.4714,6.31667,367.5,168.5714,25.66667,38,140,NA,NA
18.11,5.441,12.94444,0.92,34.8,15.6375,39.125,6.71125,42.56667,40.42222,8.3,118.75,43.55556,10.6,20.5,98,1000,18.532
181,6.3,31.7,NA,79.8,47.7,156.6,3.84,75,158,NA,NA,35,NA,NA,NA,NA,NA
19.21,6.256,10.36667,1.46,55.73333,11.925,29.425,4.89125,34.94444,18.78889,1.1625,105,28.85714,8.6,7,53.4,1450,31.355
2.11,4.966,47.78,1.46667,67.9,67.85,246.825,8.375,114.5,243.72,10.6,280,125,9,11,20,1550,NA
20.11,6.577,13.72222,1.84,99.7,13.15,25.275,5.65875,40.03333,14.42222,1.7625,142.5,26.4,8.8,3,28.8,975,37.697
21,4.5,37.2,NA,32.4,34.6,85.3,8.44,114.5,90.3,NA,NA,321,NA,NA,NA,NA,NA
21.11,6.046,24.3,4.96667,112.3714,36.18333,40.58333,6.30833,94.01429,27.8,3.31667,185,107.5714,12.2,24,192,3225,NA
3.11,4.6,35,3.8,23.83333,28.4,88.95,3.325,70.8,96.83333,24.3,NA,150,8.33333,12,35,1025,NA
3.511,7,47,3.7,369.3,NA,NA,NA,156.2,39.5,NA,NA,40,NA,NA,NA,NA,264.004
34.11,5.04,9.53333,0.6,6.16667,9,30.65,2.43,18.7,27.26667,4.3,NA,36.66667,12.33333,7.5,41.66667,300,NA
37.11,6.494,16.76,4.86667,89.5,54.3,27.175,3.13,57.48,15.22,1.05,220,16.66667,9,11,84,1500,NA
4.11,4.381,32.58889,4.04,24.54444,23.9625,68.2,6.17,94.17778,68.94444,18.55,637.5,212.8889,18.6,15.25,108,525,NA
42.11,5.095,17.01429,1.2,15.92857,21.53333,83.53333,3.24,27.65714,83.81429,2.13333,140,62.42857,8.4,7.5,47,650,NA
44.21,6.6,12.93333,1.4,71.4,51,16.55,2.305,52.1,10.36667,0.7,NA,20,5,1.5,35.5,325,NA
49.11,4.792,27.32222,0.78,20.5,33.0375,136.75,4.06125,49.05556,133.1889,10.9625,203.75,59.66667,10.5,7.66667,30.5,300,NA
5.11,4.64,39.93333,NA,63.23333,60.5,121.6,8.44,145.8,128.8,6.75,NA,320,27,27.5,466.6667,1625,NA
58.11,5.656,17.61111,1.9,26.33333,27.475,88.625,4.6675,33.32222,102.1667,2.3875,83.75,52.44444,6.75,5.33333,39.4,NA,NA
59.11,5.517,10.42222,0.72,43.83333,7.8125,26.05,3.99625,40.24444,18.15556,5.0625,162.5,37.875,6.8,3,45.4,550,NA
6.21,4.616,22.94444,3.12,26.2,21.1875,47.775,4.345,73.6,46.71111,10.1625,375,226.2222,12.8,17,90,950,NA
601,4.8,15.2,2.7,31.4,19.7,29.1,2.56,57.25,24,0.7,NA,221.5,NA,NA,NA,NA,NA
61,4.6,30.3,1.52,9.95,14.55,46.6,2.005,34.8,53.9,NA,NA,159,NA,NA,NA,NA,NA
65.21,6.175,21.22857,1.34,36.11429,32.21667,117.5833,5.49667,34.81429,123.7,1.3,125,21.66667,13,6,103.3333,1550,16.367
66.11,5.99,7.36667,1,21.16667,9.9,30.4,3.065,20.8,28.2,2.85,NA,NA,8.66667,2.5,41.66667,600,NA
71,5.7,45.3,NA,129.7,69.1,151.4,15.86,156.2,158,NA,NA,117,NA,NA,NA,NA,NA
