DatasetId;SiteId;SampleId;OriginalDiatomSampleId;TaxonId;Abun
SWAP;SWAP1.2;SWAP001;1.21;AC013A;1
SWAP;SWAP1.2;SWAP001;1.21;AC014C;3
SWAP;SWAP1.2;SWAP001;1.21;AC017A;5
SWAP;SWAP1.2;SWAP001;1.21;AC022A;33
SWAP;SWAP1.2;SWAP001;1.21;AC044A;4
SWAP;SWAP1.2;SWAP001;1.21;AC049A;1
SWAP;SWAP1.2;SWAP001;1.21;AS003A;1
SWAP;SWAP1.2;SWAP001;1.21;BR001A;6
SWAP;SWAP1.2;SWAP001;1.21;BR004A;1
SWAP;SWAP1.2;SWAP001;1.21;BR006A;15
SWAP;SWAP1.2;SWAP001;1.21;CM010A;5
SWAP;SWAP1.2;SWAP001;1.21;CM017A;1
SWAP;SWAP1.2;SWAP001;1.21;CM9999;19
SWAP;SWAP1.2;SWAP001;1.21;EU002B;8
SWAP;SWAP1.2;SWAP001;1.21;EU002K;4
SWAP;SWAP1.2;SWAP001;1.21;EU003A;1
SWAP;SWAP1.2;SWAP001;1.21;EU004A;12
SWAP;SWAP1.2;SWAP001;1.21;EU009A;17
SWAP;SWAP1.2;SWAP001;1.21;EU015A;1
SWAP;SWAP1.2;SWAP001;1.21;EU017A;1
SWAP;SWAP1.2;SWAP001;1.21;EU020A;3
SWAP;SWAP1.2;SWAP001;1.21;EU027A;1
SWAP;SWAP1.2;SWAP001;1.21;EU028A;16
SWAP;SWAP1.2;SWAP001;1.21;EU039A;1
SWAP;SWAP1.2;SWAP001;1.21;EU047A;46
SWAP;SWAP1.2;SWAP001;1.21;EU048A;21
SWAP;SWAP1.2;SWAP001;1.21;EU051A;1
SWAP;SWAP1.2;SWAP001;1.21;FR005D;3
SWAP;SWAP1.2;SWAP001;1.21;FR015A;4
SWAP;SWAP1.2;SWAP001;1.21;FR9991;2
SWAP;SWAP1.2;SWAP001;1.21;FU002A;4
SWAP;SWAP1.2;SWAP001;1.21;FU002B;28
SWAP;SWAP1.2;SWAP001;1.21;GO013A;1
SWAP;SWAP1.2;SWAP001;1.21;NA006A;5
SWAP;SWAP1.2;SWAP001;1.21;NA033A;1
SWAP;SWAP1.2;SWAP001;1.21;NA038A;4
SWAP;SWAP1.2;SWAP001;1.21;NA048A;1
SWAP;SWAP1.2;SWAP001;1.21;NA140A;8
SWAP;SWAP1.2;SWAP001;1.21;NA156A;52
SWAP;SWAP1.2;SWAP001;1.21;NA167A;8
SWAP;SWAP1.2;SWAP001;1.21;NA9999;1
SWAP;SWAP1.2;SWAP001;1.21;NE003B;2
