AC001A,AC002A,AC004A,AC013A,AC014A,AC014B,AC014C,AC017A,AC018A,AC019A,AC022A,AC025A,AC028A,AC029A,AC030A,AC034A,AC035A,AC039A,AC042A,AC044A,AC046A,AC048A,AC9964,AC9965,AC9968,AC9969,AC9975,AC9996,AM001A,AM001B,AM001D,AS001A,AS003A,AT001A,AU001C,AU002A,AU003B,AU003D,AU004A,AU004B,AU004C,AU004D,AU005A,AU005B,AU005D,AU005E,AU005J,AU005L,AU009A,AU009B,AU010A,AU010B,AU014A,AU022A,AU023A,AU9983,AU9984,AU9987,AU9988,BR001A,BR003A,BR004A,BR005A,BR006A,BR9997,CA018A,CC001A,CM004A,CM010A,CM013A,CM014A,CM015A,CM015B,CM017A,CM020A,CM031A,CM031C,CM038A,CM048A,CM050A,CM051A,CM052A,CM101B,CM9989,CM9995,CO001A,CO001B,CY001A,CY002A,CY003A,CY004A,CY007A,CY010A,CY9991,DE001A,DT002A,DT003A,DT004B,EU002A,EU002B,EU002D,EU002E,EU002K,EU003A,EU004A,EU009A,EU009C,EU011A,EU013A,EU014A,EU015A,EU016A,EU017A,EU019A,EU020A,EU021A,EU022A,EU025A,EU027A,EU028A,EU028B,EU031A,EU034A,EU039A,EU040A,EU046C,EU047A,EU048A,EU049A,EU049B,EU051A,EU051B,EU056A,EU057A,EU058A,EU9961,EU9962,EU9965,EU9969,FR001A,FR001B,FR002A,FR002C,FR005A,FR005D,FR006A,FR007A,FR008A,FR009F,FR010A,FR011A,FR015A,FR018A,FR9991,FU002A,FU002B,FU002F,GO003A,GO004A,GO006C,GO013A,GO023A,GO025B,GO025F,GY005A,HN001A,ME019A,NA002A,NA003A,NA003B,NA005A,NA005B,NA006A,NA006B,NA007A,NA008A,NA013A,NA014A,NA015A,NA016A,NA032A,NA033A,NA037A,NA038A,NA042A,NA043A,NA044A,NA045A,NA046A,NA048A,NA063A,NA068A,NA084A,NA086A,NA099A,NA101A,NA102A,NA112D,NA113A,NA114A,NA115A,NA129A,NA133A,NA135A,NA140A,NA149A,NA151A,NA156A,NA158A,NA160A,NA167A,NA170A,NA9904,NA9919,NA9955,NA9963,NA9964,NE003A,NE003B,NE003C,NE004A,NE012A,NE020A,NE023A,NI002A,NI005A,NI008A,NI009A,NI009B,NI017A,NI021A,NI026A,NI027A,NI152A,NI9984,OP001A,PE002A,PI005A,PI007A,PI011A,PI014A,PI015A,PI016A,PI018A,PI018B,PI022B,PI023A,PI055A,PI056A,PI139A,PI164A,RH006B,SA001A,SA001B,SA006A,SA042A,SE001A,SP002A,ST004A,ST010A,SU002A,SU004A,SU005A,SU006A,SY002A,SY003A,SY004A,SY009A,SY010A,SY013A,SY043A,TA001A,TA002A,TA003A,TA004A,TA9996
0,0,0,0.19,0,0,0.57,0.9600000000000001,0,0,6.31,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0.19,0,2.8700000000000006,0,0,0,0,0.9600000000000001,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0.76,0.19,2.29,3.2500000000000004,0,0,0,0,0.19,0,0.19,0,0.57,0,0,0,0.19,3.06,0,0,0,0.19,0,0,8.8,4.01,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.76,0,0.38,0.76,5.35,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.9600000000000001,0,0,0,0,0,0,0,0,0.19,0,0.76,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,9.940000000000001,0,0,1.53,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0.19,0,0.57,0,0,0,0,1.15,0,0,0,0,0,3.44,0,0,0,0,0,0.19,0.38,0,0,0,0,0,0,0,0.9600000000000001,0,11.280000000000001,2.49,0
0,0,0,4.06,0,0,1.01,0,0,1.18,0,0,0,0.17000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.49,0,0.3400000000000001,0,8.46,0,0,0,0,0.8500000000000001,0,0,0.51,0,0.51,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0.51,0.51,0,0,0,0.17000000000000004,2.2,1.6900000000000002,0,0,0,0,0,0,0,0,0.8500000000000001,0,0,0,0,0,0,0,0,0,0,0,2.88,0.6800000000000002,0,0,0.17000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,0,0,0,0,2.7100000000000004,10.49,0,0,0.51,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3400000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0.17000000000000004,3.3800000000000003,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0.6800000000000002,0,0.17000000000000004,0,0,0,1.01,0,0,1.52,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6800000000000002,0.51,0,0,0,0.17000000000000004,0,0,0.6800000000000002,3.7200000000000006,0,0,0.3400000000000001,0
0,0,0,6.430000000000001,0,0,2.31,0,0,0,1.48,0,0,1.81,0,0,0,0,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,0,0,0,5.11,0,0,0,0.49,2.31,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.79,0,0,0,0,0.33,0,0,0,0,0,1.32,3.3,0,0,0.33,0,0,0,0,0,0.9900000000000001,0,0,0,0,0,0,0,0,0,0,0,1.32,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.17000000000000004,0,0,0,0,0,0,0,0.66,5.7700000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0.9900000000000001,0,0,0,0.49,0,0,0,0,0.49,0,0,0.17000000000000004,0,0,0,3.9500000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,1.65,0,0,2.47,0,0,0,0,0,0,0,0.33,0,0,0,0.33,0,0.9900000000000001,0,0.17000000000000004,0.33,0,0,0,0,0,0.17000000000000004,0,0,0.8200000000000001,0,0,0,0.33,0,0.66,0.66,0,0.33,0,0,0,0,0,0,1.65,0,0.17000000000000004,0.9900000000000001,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,1.81,0,0.17000000000000004,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4200000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.310000000000002,0,0.57,0,0,0,0,0,0,4.26,0,0,4.55,0,0.28,0,1.4200000000000002,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8500000000000001,0,0,0,0,1.4200000000000002,1.4200000000000002,0,0,0,0,0,0,0.8500000000000001,0,1.4200000000000002,0,0,0,0,0,0,0,0,0,0,0,0.8500000000000001,0,0.57,0,0.8500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0.8500000000000001,6.25,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8500000000000001,0,0,0,0,0,0,0,1.7100000000000002,0,0,0,3.4100000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4200000000000002,0,0,3.4100000000000006,0,0,0,0,0,0,0.28,0,0,0.28,0,0.28,0,1.14,0,0.28,2.27,1.7100000000000002,0,1.7100000000000002,0,1.14,0,0,0,0,0,0,0,2.8400000000000003,0,0,0,0,0,0,0,0,0,1.14,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,7.39,0,0,0,0
0,0,0,0,0,0,0,0,0,0.31,0,0.16000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16000000000000003,0,0,0,0,3.1300000000000003,0,0,0,0.16000000000000003,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,1.4100000000000001,0.7800000000000001,0,4.38,0,0,0,0.47,0.7800000000000001,0,0,0,0,0.16000000000000003,0,0,0,0,3.2900000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0.47,0,0,0,0,2.8200000000000003,0.7800000000000001,0,0,0,0,0.47,0,0,0,2.19,0,0,0,0,0,0,0,0,0.47,0,0,2.5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,6.890000000000001,18.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0.16000000000000003,0,0,0.63,0,0,0,0,0,0.16000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,2.97,0,0,0,0,0,0,0.16000000000000003,0,0,0,0,0,0,0,0,0.31,0,1.25,0,0.47,0,0,0,0,0,0,0.47,0,0.7800000000000001,0,0.7800000000000001,0,0,0,0,0,0,0,0,0,0,0.16000000000000003,0,0,0.47,0.94,0.16000000000000003,0,0,0,0,0.16000000000000003,0.47,0,0,0,0,0,0,0,2.66,0,0,0,0
0,0,0,0,0,0,4.03,0,0,0,11.94,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9800000000000004,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.15,0,0,2.54,0,0,0,0.6,0,0,0,0,0,1.1900000000000002,0,0,2.3900000000000006,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0.3,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,1.79,0,0,2.8400000000000003,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1.1900000000000002,0,0,0,0,0.45,0,1.1900000000000002,0,2.3900000000000006,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0.3,0.7500000000000001,0,0,0,0,0,0,0,2.3900000000000006,0,0.15,0,0
0,0,0,0.33,0,0,0.17000000000000004,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,1.33,0,0,0,0,0,0,1.66,0,0,0.33,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0.33,1.83,0,0,0.5,0,3.1600000000000006,4.990000000000001,0,0,0,0,0.5,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0.33,7.490000000000001,1.66,0,0,0.5,0,0,0,0,0,0,0,0,0.17000000000000004,0,0,0,0,0.17000000000000004,0,0,0,0,0,0,0,0,0,1.83,5.49,0,0.17000000000000004,0,0,0,0,0,0,0,0,0,0,0.17000000000000004,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.17000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,2.9900000000000007,0,0,2.9900000000000007,0,0,0,0,0,0,0.67,0,0,1,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,3.1600000000000006,0,0,0.33,1.16,0,0,0.5,0.17000000000000004,0,0,0,0,0,0,0,0,0,0,0.33,0,0.17000000000000004,0,0,0,0,0,0.5,0,0,0,0,0,0,0,27.29,0,0.33,0.33,0
0,0,0,0.35,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17000000000000004,0,0,0,0,0.17000000000000004,0,0,0,0,0,0,0,0,1.5600000000000003,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,1.5600000000000003,0,0,3.63,0,0,0,0.17000000000000004,0,0,0,0,0,0.69,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000000000001,0,0,0,0,0,0.52,0,0,0,0,0.52,5.54,0,0,0,0.35,0.35,0,0,0,1.38,0,0,0,0,0.87,0,0,0,0,0,0,5.54,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0.52,0,0.17000000000000004,0,10.550000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0.69,0,0,0.17000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000000000001,0,0,0.52,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0.35,0,0,0.35,0,0,0,0,0,1.73,2.25,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0.35,0.35,0,0.35,0,0.87,0.69,0,0,0,0,3.63,0,0,0,0,0,0,0.35,0,2.42,0,0,2.25,0
0,0,0,1.5000000000000002,0,0,9.85,0,0,0.33,13.520000000000001,0,0,8.01,0,0,0,0,0,7.510000000000001,0,0,0,0,0,0,0,0,0.17000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5000000000000002,0,0,0,2.8400000000000003,0,0,0,0,1.5000000000000002,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0.17000000000000004,0,0,0,0,0,1.67,3.01,0,0,0,0,0,0,0,0,0.17000000000000004,0.5,0,0,0,0,0,0,0,0,0,0,3.34,0.5,0,0,0.17000000000000004,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0.67,3.17,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.17000000000000004,0,0,0.5,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.17000000000000004,0,0,0,0,0,0,0.17000000000000004,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.17000000000000004,0,0,0,0,0,0,0,3.01,0,0,0,0
0,0,0,0.49,0,0,1.31,1.15,0,1.81,3.2800000000000002,0,0,0.49,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,4.11,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0.9900000000000001,0,0,0,0,4.11,0,0,0,0,0.16000000000000003,0,0,0.16000000000000003,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93,0,0,0,0,0,0.16000000000000003,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.66,6.240000000000001,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0.66,0,0,0,0,0.33,4.43,0,0,0,0,0,0,0,0,0,0,3.2800000000000002,0,0,0,6.9,0,0.16000000000000003,0,0,0,0,0,0,0.9900000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,1.48,0,0,0.33,0,0,0,0,0,1.6400000000000001,0,0,0,0,0,0,0,3.45,0,2.13,0,0,0.16000000000000003,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0.9900000000000001,0,0,0,0
