pH,Cond,TOC,Ca,Mg,K,SO4,Cl,Equal,Altot
4.491,4.06,1.065,4.248,4.126,2.481,4.956,5.477,0,5.7
5.264,3.751,1.637,4.851,4.523,2.755,5.164,4.929,2.145,5.173
6.488,2.821,1.241,4.179,3.296,1.786,3.118,4.267,3.171,3.734
6.431,3.222,1.324,4.651,3.527,1.599,3.299,4.74,4.637,3.615
5.682,3.501,1.798,3.831,4.005,1.913,3.708,5.381,2.721,4.222
5.244,2.497,0.892,3.466,2.709,1.345,3.944,3.144,0,4.562
5.407,3.01,1.729,4.233,3.438,2.108,4.575,3.686,0,5.169
4.912,3.8,1.905,4.739,4.308,2.118,5.119,4.98,0,5.127
5.441,2.561,0.652,3.55,2.75,1.904,3.751,3.699,2.972,3.774
6.256,2.339,0.9,4.021,2.479,1.587,3.554,2.933,3.477,3.362
4.966,3.867,0.903,4.218,4.217,2.125,4.741,5.496,0,4.828
6.577,2.619,1.044,4.602,2.576,1.733,3.69,2.669,3.656,3.273
6.046,3.19,1.786,4.722,3.589,1.842,4.543,3.325,0,4.678
4.6,3.555,1.569,3.171,3.346,1.201,4.26,4.573,0,5.011
5.04,2.255,0.47,1.819,2.197,0.888,2.929,3.306,0,3.602
4.381,3.484,1.617,3.2,3.176,1.82,4.545,4.233,0,5.361
5.095,2.834,0.788,2.768,3.07,1.176,3.32,4.429,0,4.134
6.6,2.56,0.875,4.268,3.932,0.835,3.953,2.339,0,2.996
4.792,3.308,0.577,3.02,3.498,1.402,3.893,4.892,0,4.089
5.656,2.869,1.065,3.271,3.313,1.541,3.506,4.627,0,3.96
5.517,2.344,0.542,3.78,2.056,1.385,3.695,2.899,0,3.634
4.616,3.133,1.416,3.266,3.053,1.469,4.299,3.844,0,5.422
6.175,3.055,0.85,3.587,3.472,1.704,3.55,4.818,2.855,3.076
4.73,3.716,1.299,3.863,3.895,2.148,4.654,5.19,0,5.288
4.522,3.506,1.851,3.816,3.638,1.923,4.654,4.695,0,5.46
4.619,3.065,1.786,3.324,2.954,0.989,4.04,3.878,0,5.078
4.945,2.788,0.723,2.314,2.961,0.964,3.441,4.32,0,4.685
4.89,3.119,1.866,4.461,3.348,1.716,4.661,3.635,0,5.133
5.141,2.549,1.335,3.671,2.774,1.099,4.029,3.212,0,4.304
5.26,2.194,0.693,3.184,2.293,1.035,3.643,2.881,0,4.815
5.766,2.818,0.676,3.856,3.301,1.367,3.751,4.273,0,3.135
4.676,3.001,1.163,3.093,2.819,1.632,4.289,3.329,0,4.713
5.101,3.474,1.322,3.624,3.332,1.705,3.753,5.358,1.674,2.833
6.179,3.555,1.153,3.699,3.9,2.61,3.761,5.392,4.059,3.258
7.093,4.616,1.723,5.981,5.116,3.398,5.5,6.061,5.759,4.893
6.748,4.993,2.028,5.487,5.334,2.772,5.566,6.529,5.636,4.294
6.43,3.534,1.115,4.755,4.022,1.681,4.234,4.998,4.594,3.977
6.53,4.326,1.065,5.368,4.599,2.229,5.169,5.675,4.649,3.995
